@relation VALE5(6)

@attribute AberturaDM6 {A,B,I}
@attribute BaixaDM6 {A,B,I}
@attribute AltaDM6 {A,B,I}
@attribute VolumeDM6 {A,B,I}
@attribute FechamentoDM6 {A,B,I}
@attribute AberturaDM5 {A,B,I}
@attribute BaixaDM5 {A,B,I}
@attribute AltaDM5 {A,B,I}
@attribute VolumeDM5 {A,B,I}
@attribute FechamentoDM5 {A,B,I}
@attribute AberturaDM4 {A,B,I}
@attribute BaixaDM4 {A,B,I}
@attribute AltaDM4 {A,B,I}
@attribute VolumeDM4 {A,B,I}
@attribute FechamentoDM4 {A,B,I}
@attribute AberturaDM3 {A,B,I}
@attribute BaixaDM3 {A,B,I}
@attribute AltaDM3 {A,B,I}
@attribute VolumeDM3 {A,B,I}
@attribute FechamentoDM3 {A,B,I}
@attribute AberturaDM2 {A,B,I}
@attribute BaixaDM2 {A,B,I}
@attribute AltaDM2 {A,B,I}
@attribute VolumeDM2 {A,B,I}
@attribute FechamentoDM2 {A,B,I}
@attribute AberturaDM1 {A,B,I}
@attribute BaixaDM1 {A,B,I}
@attribute AltaDM1 {A,B,I}
@attribute VolumeDM1 {A,B,I}
@attribute FechamentoDM1 {A,B,I}
@attribute Fechamento {A,B}

@data
A,A,A,A,A,A,A,B,A,A,A,B,A,B,A,A,A,I,B,A,A,A,A,A,A,A,A,A,A,A,A
A,A,B,A,A,A,B,A,B,A,A,A,I,B,A,A,A,A,A,A,A,A,A,A,A,A,A,B,B,A,A
A,B,A,B,A,A,A,I,B,A,A,A,A,A,A,A,A,A,A,A,A,A,B,B,A,A,A,A,B,A,A
A,A,I,B,A,A,A,A,A,A,A,A,A,A,A,A,A,B,B,A,A,A,A,B,A,A,A,A,B,A,A
A,A,A,A,A,A,A,A,A,A,A,A,B,B,A,A,A,A,B,A,A,A,A,B,A,A,B,B,A,A,A
A,A,A,A,A,A,A,B,B,A,A,A,A,B,A,A,A,A,B,A,A,B,B,A,A,A,B,B,B,A,A
A,A,B,B,A,A,A,A,B,A,A,A,A,B,A,A,B,B,A,A,A,B,B,B,A,A,B,B,A,A,A
A,A,A,B,A,A,A,A,B,A,A,B,B,A,A,A,B,B,B,A,A,B,B,A,A,A,B,B,B,A,A
A,A,A,B,A,A,B,B,A,A,A,B,B,B,A,A,B,B,A,A,A,B,B,B,A,A,A,A,B,A,A
A,B,B,A,A,A,B,B,B,A,A,B,B,A,A,A,B,B,B,A,A,A,A,B,A,A,B,B,A,A,A
A,B,B,B,A,A,B,B,A,A,A,B,B,B,A,A,A,A,B,A,A,B,B,A,A,A,B,B,A,A,A
A,B,B,A,A,A,B,B,B,A,A,A,A,B,A,A,B,B,A,A,A,B,B,A,A,A,A,B,B,A,A
A,B,B,B,A,A,A,A,B,A,A,B,B,A,A,A,B,B,A,A,A,A,B,B,A,A,B,A,B,A,A
A,A,A,B,A,A,B,B,A,A,A,B,B,A,A,A,A,B,B,A,A,B,A,B,A,A,A,A,A,A,A
A,B,B,A,A,A,B,B,A,A,A,A,B,B,A,A,B,A,B,A,A,A,A,A,A,A,B,A,A,A,A
A,B,B,A,A,A,A,B,B,A,A,B,A,B,A,A,A,A,A,A,A,B,A,A,A,A,A,B,B,A,A
A,A,B,B,A,A,B,A,B,A,A,A,A,A,A,A,B,A,A,A,A,A,B,B,A,A,B,B,A,A,A
A,B,A,B,A,A,A,A,A,A,A,B,A,A,A,A,A,B,B,A,A,B,B,A,A,A,B,B,A,A,A
A,A,A,A,A,A,B,A,A,A,A,A,B,B,A,A,B,B,A,A,A,B,B,A,A,A,B,B,B,A,A
A,B,A,A,A,A,A,B,B,A,A,B,B,A,A,A,B,B,A,A,A,B,B,B,A,A,B,A,A,A,A
A,A,B,B,A,A,B,B,A,A,A,B,B,A,A,A,B,B,B,A,A,B,A,A,A,A,I,B,B,A,A
A,B,B,A,A,A,B,B,A,A,A,B,B,B,A,A,B,A,A,A,A,I,B,B,A,A,A,A,A,A,A
A,B,B,A,A,A,B,B,B,A,A,B,A,A,A,A,I,B,B,A,A,A,A,A,A,A,A,A,B,A,A
A,B,B,B,A,A,B,A,A,A,A,I,B,B,A,A,A,A,A,A,A,A,A,B,A,A,B,B,B,A,A
A,B,A,A,A,A,I,B,B,A,A,A,A,A,A,A,A,A,B,A,A,B,B,B,A,A,B,B,A,A,A
A,I,B,B,A,A,A,A,A,A,A,A,A,B,A,A,B,B,B,A,A,B,B,A,A,A,A,A,B,A,A
A,A,A,A,A,A,A,A,B,A,A,B,B,B,A,A,B,B,A,A,A,A,A,B,A,A,A,B,B,A,A
A,A,A,B,A,A,B,B,B,A,A,B,B,A,A,A,A,A,B,A,A,A,B,B,A,A,B,A,A,A,A
A,B,B,B,A,A,B,B,A,A,A,A,A,B,A,A,A,B,B,A,A,B,A,A,A,A,A,A,A,A,A
A,B,B,A,A,A,A,A,B,A,A,A,B,B,A,A,B,A,A,A,A,A,A,A,A,A,B,B,B,A,A
A,A,A,B,A,A,A,B,B,A,A,B,A,A,A,A,A,A,A,A,A,B,B,B,A,A,B,B,A,A,A
A,A,B,B,A,A,B,A,A,A,A,A,A,A,A,A,B,B,B,A,A,B,B,A,A,A,A,A,A,A,A
A,B,A,A,A,A,A,A,A,A,A,B,B,B,A,A,B,B,A,A,A,A,A,A,A,A,A,B,A,A,A
A,A,A,A,A,A,B,B,B,A,A,B,B,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,B,A,A
A,B,B,B,A,A,B,B,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,B,A,A,B,B,A,A,A
A,B,B,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,B,A,A,B,B,A,A,A,I,B,B,A,A
A,A,A,A,A,A,A,B,A,A,A,A,A,B,A,A,B,B,A,A,A,I,B,B,A,A,B,B,B,A,A
A,A,B,A,A,A,A,A,B,A,A,B,B,A,A,A,I,B,B,A,A,B,B,B,A,A,B,A,A,A,A
A,A,A,B,A,A,B,B,A,A,A,I,B,B,A,A,B,B,B,A,A,B,A,A,A,A,B,B,B,A,A
A,B,B,A,A,A,I,B,B,A,A,B,B,B,A,A,B,A,A,A,A,B,B,B,A,A,B,B,B,A,A
A,I,B,B,A,A,B,B,B,A,A,B,A,A,A,A,B,B,B,A,A,B,B,B,A,A,B,B,B,A,A
A,B,B,B,A,A,B,A,A,A,A,B,B,B,A,A,B,B,B,A,A,B,B,B,A,A,B,B,A,A,A
A,B,A,A,A,A,B,B,B,A,A,B,B,B,A,A,B,B,B,A,A,B,B,A,A,A,B,B,A,A,A
A,B,B,B,A,A,B,B,B,A,A,B,B,B,A,A,B,B,A,A,A,B,B,A,A,A,B,B,A,A,A
A,B,B,B,A,A,B,B,B,A,A,B,B,A,A,A,B,B,A,A,A,B,B,A,A,A,A,A,A,A,A
A,B,B,B,A,A,B,B,A,A,A,B,B,A,A,A,B,B,A,A,A,A,A,A,A,A,A,B,B,A,A
A,B,B,A,A,A,B,B,A,A,A,B,B,A,A,A,A,A,A,A,A,A,B,B,A,A,A,A,B,A,A
A,B,B,A,A,A,B,B,A,A,A,A,A,A,A,A,A,B,B,A,A,A,A,B,A,A,B,B,B,A,A
A,B,B,A,A,A,A,A,A,A,A,A,B,B,A,A,A,A,B,A,A,B,B,B,A,A,B,B,B,A,A
A,A,A,A,A,A,A,B,B,A,A,A,A,B,A,A,B,B,B,A,A,B,B,B,A,A,A,A,B,A,A
A,A,B,B,A,A,A,A,B,A,A,B,B,B,A,A,B,B,B,A,A,A,A,B,A,A,A,A,A,A,A
A,A,A,B,A,A,B,B,B,A,A,B,B,B,A,A,A,A,B,A,A,A,A,A,A,A,B,B,B,A,A
A,B,B,B,A,A,B,B,B,A,A,A,A,B,A,A,A,A,A,A,A,B,B,B,A,A,B,B,B,A,A
A,B,B,B,A,A,A,A,B,A,A,A,A,A,A,A,B,B,B,A,A,B,B,B,A,A,B,B,B,A,A
A,A,A,B,A,A,A,A,A,A,A,B,B,B,A,A,B,B,B,A,A,B,B,B,A,A,B,B,A,A,A
A,A,A,A,A,A,B,B,B,A,A,B,B,B,A,A,B,B,B,A,A,B,B,A,A,A,A,A,B,A,A
A,B,B,B,A,A,B,B,B,A,A,B,B,B,A,A,B,B,A,A,A,A,A,B,A,A,A,A,A,A,A
A,B,B,B,A,A,B,B,B,A,A,B,B,A,A,A,A,A,B,A,A,A,A,A,A,A,A,I,B,A,A
A,B,B,B,A,A,B,B,A,A,A,A,A,B,A,A,A,A,A,A,A,A,I,B,A,A,B,B,B,A,A
A,B,B,A,A,A,A,A,B,A,A,A,A,A,A,A,A,I,B,A,A,B,B,B,A,A,A,A,A,A,A
A,A,A,B,A,A,A,A,A,A,A,A,I,B,A,A,B,B,B,A,A,A,A,A,A,A,B,B,A,A,A
A,A,A,A,A,A,A,I,B,A,A,B,B,B,A,A,A,A,A,A,A,B,B,A,A,A,B,A,B,A,A
A,A,I,B,A,A,B,B,B,A,A,A,A,A,A,A,B,B,A,A,A,B,A,B,A,A,A,A,B,A,A
A,B,B,B,A,A,A,A,A,A,A,B,B,A,A,A,B,A,B,A,A,A,A,B,A,A,B,A,A,A,A
A,A,A,A,A,A,B,B,A,A,A,B,A,B,A,A,A,A,B,A,A,B,A,A,A,A,A,B,B,A,A
A,B,B,A,A,A,B,A,B,A,A,A,A,B,A,A,B,A,A,A,A,A,B,B,A,A,B,B,A,A,A
A,B,A,B,A,A,A,A,B,A,A,B,A,A,A,A,A,B,B,A,A,B,B,A,A,A,A,A,A,A,A
A,A,A,B,A,A,B,A,A,A,A,A,B,B,A,A,B,B,A,A,A,A,A,A,A,A,B,B,B,A,A
A,B,A,A,A,A,A,B,B,A,A,B,B,A,A,A,A,A,A,A,A,B,B,B,A,A,B,A,A,A,A
A,A,B,B,A,A,B,B,A,A,A,A,A,A,A,A,B,B,B,A,A,B,A,A,A,A,A,A,A,A,A
A,B,B,A,A,A,A,A,A,A,A,B,B,B,A,A,B,A,A,A,A,A,A,A,A,A,A,A,B,A,A
A,A,A,A,A,A,B,B,B,A,A,B,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A
A,B,B,B,A,A,B,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,B,B,A,A
A,B,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,B,B,A,A,A,B,B,A,A
A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,B,B,A,A,A,B,B,A,A,B,B,A,A,A
A,A,A,B,A,A,A,A,A,A,A,A,B,B,A,A,A,B,B,A,A,B,B,A,A,A,A,B,B,A,A
A,A,A,A,A,A,A,B,B,A,A,A,B,B,A,A,B,B,A,A,A,A,B,B,A,A,B,B,A,A,A
A,A,B,B,A,A,A,B,B,A,A,B,B,A,A,A,A,B,B,A,A,B,B,A,A,A,B,A,B,A,A
A,A,B,B,A,A,B,B,A,A,A,A,B,B,A,A,B,B,A,A,A,B,A,B,A,A,B,B,A,A,A
A,B,B,A,A,A,A,B,B,A,A,B,B,A,A,A,B,A,B,A,A,B,B,A,A,A,B,B,A,A,A
A,A,B,B,A,A,B,B,A,A,A,B,A,B,A,A,B,B,A,A,A,B,B,A,A,A,B,A,A,A,A
A,B,B,A,A,A,B,A,B,A,A,B,B,A,A,A,B,B,A,A,A,B,A,A,A,A,A,B,B,A,A
A,B,A,B,A,A,B,B,A,A,A,B,B,A,A,A,B,A,A,A,A,A,B,B,A,A,B,B,A,A,A
A,B,B,A,A,A,B,B,A,A,A,B,A,A,A,A,A,B,B,A,A,B,B,A,A,A,B,A,B,A,A
A,B,B,A,A,A,B,A,A,A,A,A,B,B,A,A,B,B,A,A,A,B,A,B,A,A,B,B,A,A,A
A,B,A,A,A,A,A,B,B,A,A,B,B,A,A,A,B,A,B,A,A,B,B,A,A,A,B,B,B,A,A
A,A,B,B,A,A,B,B,A,A,A,B,A,B,A,A,B,B,A,A,A,B,B,B,A,A,B,B,A,A,A
A,B,B,A,A,A,B,A,B,A,A,B,B,A,A,A,B,B,B,A,A,B,B,A,A,A,A,A,B,A,A
A,B,A,B,A,A,B,B,A,A,A,B,B,B,A,A,B,B,A,A,A,A,A,B,A,A,A,A,A,A,A
A,B,B,A,A,A,B,B,B,A,A,B,B,A,A,A,A,A,B,A,A,A,A,A,A,A,B,B,B,A,A
A,B,B,B,A,A,B,B,A,A,A,A,A,B,A,A,A,A,A,A,A,B,B,B,A,A,A,B,B,A,A
A,B,B,A,A,A,A,A,B,A,A,A,A,A,A,A,B,B,B,A,A,A,B,B,A,A,B,B,A,A,A
A,A,A,B,A,A,A,A,A,A,A,B,B,B,A,A,A,B,B,A,A,B,B,A,A,A,B,B,A,A,A
A,A,A,A,A,A,B,B,B,A,A,A,B,B,A,A,B,B,A,A,A,B,B,A,A,A,B,B,B,A,A
A,B,B,B,A,A,A,B,B,A,A,B,B,A,A,A,B,B,A,A,A,B,B,B,A,A,B,B,A,A,A
A,A,B,B,A,A,B,B,A,A,A,B,B,A,A,A,B,B,B,A,A,B,B,A,A,A,A,A,B,A,A
A,B,B,A,A,A,B,B,A,A,A,B,B,B,A,A,B,B,A,A,A,A,A,B,A,A,B,B,A,A,A
A,B,B,A,A,A,B,B,B,A,A,B,B,A,A,A,A,A,B,A,A,B,B,A,A,A,A,A,A,A,A
A,B,B,B,A,A,B,B,A,A,A,A,A,B,A,A,B,B,A,A,A,A,A,A,A,A,B,B,B,A,A
A,B,B,A,A,A,A,A,B,A,A,B,B,A,A,A,A,A,A,A,A,B,B,B,A,A,B,A,A,A,A
A,A,A,B,A,A,B,B,A,A,A,A,A,A,A,A,B,B,B,A,A,B,A,A,A,A,A,A,B,A,A
A,B,B,A,A,A,A,A,A,A,A,B,B,B,A,A,B,A,A,A,A,A,A,B,A,A,A,A,A,A,A
A,A,A,A,A,A,B,B,B,A,A,B,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A
A,B,B,B,A,A,B,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
A,B,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A
A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,B,B,B,A,A
A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,B,B,B,A,A,A,A,B,A,A
A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,B,B,B,A,A,A,A,B,A,A,A,A,A,A,A
A,A,A,A,A,A,A,A,B,A,A,B,B,B,A,A,A,A,B,A,A,A,A,A,A,A,A,A,B,A,A
A,A,A,B,A,A,B,B,B,A,A,A,A,B,A,A,A,A,A,A,A,A,A,B,A,A,A,A,B,A,A
A,B,B,B,A,A,A,A,B,A,A,A,A,A,A,A,A,A,B,A,A,A,A,B,A,A,B,B,A,A,A
A,A,A,B,A,A,A,A,A,A,A,A,A,B,A,A,A,A,B,A,A,B,B,A,A,A,A,B,A,A,A
A,A,A,A,A,A,A,A,B,A,A,A,A,B,A,A,B,B,A,A,A,A,B,A,A,A,A,A,B,A,A
A,A,A,B,A,A,A,A,B,A,A,B,B,A,A,A,A,B,A,A,A,A,A,B,A,A,A,A,B,A,A
A,A,A,B,A,A,B,B,A,A,A,A,B,A,A,A,A,A,B,A,A,A,A,B,A,A,B,B,A,A,A
A,B,B,A,A,A,A,B,A,A,A,A,A,B,A,A,A,A,B,A,A,B,B,A,A,A,A,B,B,A,A
A,A,B,A,A,A,A,A,B,A,A,A,A,B,A,A,B,B,A,A,A,A,B,B,A,A,B,B,B,A,A
A,A,A,B,A,A,A,A,B,A,A,B,B,A,A,A,A,B,B,A,A,B,B,B,A,A,B,A,A,A,A
A,A,A,B,A,A,B,B,A,A,A,A,B,B,A,A,B,B,B,A,A,B,A,A,A,A,A,A,B,A,A
A,B,B,A,A,A,A,B,B,A,A,B,B,B,A,A,B,A,A,A,A,A,A,B,A,A,A,A,A,A,A
A,A,B,B,A,A,B,B,B,A,A,B,A,A,A,A,A,A,B,A,A,A,A,A,A,A,B,B,B,A,A
A,B,B,B,A,A,B,A,A,A,A,A,A,B,A,A,A,A,A,A,A,B,B,B,A,A,B,B,A,A,A
A,B,A,A,A,A,A,A,B,A,A,A,A,A,A,A,B,B,B,A,A,B,B,A,A,A,A,A,B,A,A
A,A,A,B,A,A,A,A,A,A,A,B,B,B,A,A,B,B,A,A,A,A,A,B,A,A,A,B,B,A,A
A,A,A,A,A,A,B,B,B,A,A,B,B,A,A,A,A,A,B,A,A,A,B,B,A,A,B,A,B,A,A
A,B,B,B,A,A,B,B,A,A,A,A,A,B,A,A,A,B,B,A,A,B,A,B,A,A,B,B,B,A,A
A,B,B,A,A,A,A,A,B,A,A,A,B,B,A,A,B,A,B,A,A,B,B,B,A,A,A,A,A,A,A
A,A,A,B,A,A,A,B,B,A,A,B,A,B,A,A,B,B,B,A,A,A,A,A,A,A,A,A,B,A,A
A,A,B,B,A,A,B,A,B,A,A,B,B,B,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A
A,B,A,B,A,A,B,B,B,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,B,B,A,A
A,B,B,B,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,B,B,A,A,B,B,B,A,A
A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,B,B,A,A,B,B,B,A,A,A,A,A,A,A
A,A,A,B,A,A,A,A,A,A,A,A,B,B,A,A,B,B,B,A,A,A,A,A,A,A,A,A,A,A,A
A,A,A,A,A,A,A,B,B,A,A,B,B,B,A,A,A,A,A,A,A,A,A,A,A,A,B,A,B,A,A
A,A,B,B,A,A,B,B,B,A,A,A,A,A,A,A,A,A,A,A,A,B,A,B,A,A,A,B,B,A,A
A,B,B,B,A,A,A,A,A,A,A,A,A,A,A,A,B,A,B,A,A,A,B,B,A,A,A,A,A,A,A
A,A,A,A,A,A,A,A,A,A,A,B,A,B,A,A,A,B,B,A,A,A,A,A,A,A,A,B,B,A,A
A,A,A,A,A,A,B,A,B,A,A,A,B,B,A,A,A,A,A,A,A,A,B,B,A,A,B,B,B,A,A
A,B,A,B,A,A,A,B,B,A,A,A,A,A,A,A,A,B,B,A,A,B,B,B,A,A,A,B,A,A,A
A,A,B,B,A,A,A,A,A,A,A,A,B,B,A,A,B,B,B,A,A,A,B,A,A,A,A,A,A,A,A
A,A,A,A,A,A,A,B,B,A,A,B,B,B,A,A,A,B,A,A,A,A,A,A,A,A,A,A,B,A,A
A,A,B,B,A,A,B,B,B,A,A,A,B,A,A,A,A,A,A,A,A,A,A,B,A,A,B,A,B,A,A
A,B,B,B,A,A,A,B,A,A,A,A,A,A,A,A,A,A,B,A,A,B,A,B,A,A,B,B,A,A,A
A,A,B,A,A,A,A,A,A,A,A,A,A,B,A,A,B,A,B,A,A,B,B,A,A,A,B,A,A,A,A
A,A,A,A,A,A,A,A,B,A,A,B,A,B,A,A,B,B,A,A,A,B,A,A,A,A,B,B,B,A,A
A,A,A,B,A,A,B,A,B,A,A,B,B,A,A,A,B,A,A,A,A,B,B,B,A,A,I,B,A,A,A
A,B,A,B,A,A,B,B,A,A,A,B,A,A,A,A,B,B,B,A,A,I,B,A,A,A,A,A,A,A,A
A,B,B,A,A,A,B,A,A,A,A,B,B,B,A,A,I,B,A,A,A,A,A,A,A,A,A,A,A,A,A
A,B,A,A,A,A,B,B,B,A,A,I,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,B,A,A
A,B,B,B,A,A,I,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,B,A,A,A,B,A,A,A
A,I,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,B,A,A,A,B,A,A,A,B,B,A,A,A
A,A,A,A,A,A,A,A,A,A,A,A,B,B,A,A,A,B,A,A,A,B,B,A,A,A,A,A,B,A,A
A,A,A,A,A,A,A,B,B,A,A,A,B,A,A,A,B,B,A,A,A,A,A,B,A,A,B,B,B,A,A
A,A,B,B,A,A,A,B,A,A,A,B,B,A,A,A,A,A,B,A,A,B,B,B,A,A,B,B,A,A,A
A,A,B,A,A,A,B,B,A,A,A,A,A,B,A,A,B,B,B,A,A,B,B,A,A,A,A,B,A,A,A
A,B,B,A,A,A,A,A,B,A,A,B,B,B,A,A,B,B,A,A,A,A,B,A,A,A,A,B,B,A,A
A,A,A,B,A,A,B,B,B,A,A,B,B,A,A,A,A,B,A,A,A,A,B,B,A,A,B,B,A,A,A
A,B,B,B,A,A,B,B,A,A,A,A,B,A,A,A,A,B,B,A,A,B,B,A,A,A,A,A,B,A,A
A,B,B,A,A,A,A,B,A,A,A,A,B,B,A,A,B,B,A,A,A,A,A,B,A,A,B,B,A,A,A
A,A,B,A,A,A,A,B,B,A,A,B,B,A,A,A,A,A,B,A,A,B,B,A,A,A,B,B,A,A,A
A,A,B,B,A,A,B,B,A,A,A,A,A,B,A,A,B,B,A,A,A,B,B,A,A,A,B,B,B,A,A
A,B,B,A,A,A,A,A,B,A,A,B,B,A,A,A,B,B,A,A,A,B,B,B,A,A,B,B,A,A,A
