@relation VALE5(4)

@attribute Abertura-4 {A,B,I}
@attribute Baixa-4 {A,B,I}
@attribute Alta-4 {A,B,I}
@attribute Volume-4 {A,B,I}
@attribute Fechamento-4 {A,B,I}
@attribute Abertura-3 {A,B,I}
@attribute Baixa-3 {A,B,I}
@attribute Alta-3 {A,B,I}
@attribute Volume-3 {A,B,I}
@attribute Fechamento-3 {A,B,I}
@attribute Abertura-2 {A,B,I}
@attribute Baixa-2 {A,B,I}
@attribute Alta-2 {A,B,I}
@attribute Volume-2 {A,B,I}
@attribute Fechamento-2 {A,B,I}
@attribute Abertura-1 {A,B,I}
@attribute Baixa-1 {A,B,I}
@attribute Alta-1 {A,B,I}
@attribute Volume-1 {A,B,I}
@attribute Fechamento-1 {A,B,I}
@attribute Fechamento {A,B}

@data
A,I,B,B,A,A,A,A,A,A,A,A,A,B,A,A,B,B,B,A,A
A,A,A,A,A,A,A,A,B,A,A,B,B,B,A,A,B,B,A,A,A
A,A,A,B,A,A,B,B,B,A,A,B,B,A,A,A,A,A,B,A,A
A,B,B,B,A,A,B,B,A,A,A,A,A,B,A,A,A,B,B,A,A
A,B,B,A,A,A,A,A,B,A,A,A,B,B,A,A,B,A,A,A,A
A,A,A,B,A,A,A,B,B,A,A,B,A,A,A,A,A,A,A,A,A
A,A,B,B,A,A,B,A,A,A,A,A,A,A,A,A,B,B,B,A,A
A,B,A,A,A,A,A,A,A,A,A,B,B,B,A,A,B,B,A,A,A
A,A,A,A,A,A,B,B,B,A,A,B,B,A,A,A,A,A,A,A,A
A,B,B,B,A,A,B,B,A,A,A,A,A,A,A,A,A,B,A,A,A
A,B,B,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,B,A,A
A,A,A,A,A,A,A,B,A,A,A,A,A,B,A,A,B,B,A,A,A
A,A,B,A,A,A,A,A,B,A,A,B,B,A,A,A,I,B,B,A,A
A,A,A,B,A,A,B,B,A,A,A,I,B,B,A,A,B,B,B,A,A
A,B,B,A,A,A,I,B,B,A,A,B,B,B,A,A,B,A,A,A,A
A,I,B,B,A,A,B,B,B,A,A,B,A,A,A,A,B,B,B,A,A
A,B,B,B,A,A,B,A,A,A,A,B,B,B,A,A,B,B,B,A,A
A,B,A,A,A,A,B,B,B,A,A,B,B,B,A,A,B,B,B,A,A
A,B,B,B,A,A,B,B,B,A,A,B,B,B,A,A,B,B,A,A,A
A,B,B,B,A,A,B,B,B,A,A,B,B,A,A,A,B,B,A,A,A
A,B,B,B,A,A,B,B,A,A,A,B,B,A,A,A,B,B,A,A,A
A,B,B,A,A,A,B,B,A,A,A,B,B,A,A,A,A,A,A,A,A
A,B,B,A,A,A,B,B,A,A,A,A,A,A,A,A,A,B,B,A,A
A,B,B,A,A,A,A,A,A,A,A,A,B,B,A,A,A,A,B,A,A
A,A,A,A,A,A,A,B,B,A,A,A,A,B,A,A,B,B,B,A,A
A,A,B,B,A,A,A,A,B,A,A,B,B,B,A,A,B,B,B,A,A
A,A,A,B,A,A,B,B,B,A,A,B,B,B,A,A,A,A,B,A,A
A,B,B,B,A,A,B,B,B,A,A,A,A,B,A,A,A,A,A,A,A
A,B,B,B,A,A,A,A,B,A,A,A,A,A,A,A,B,B,B,A,A
A,A,A,B,A,A,A,A,A,A,A,B,B,B,A,A,B,B,B,A,A
A,A,A,A,A,A,B,B,B,A,A,B,B,B,A,A,B,B,B,A,A
A,B,B,B,A,A,B,B,B,A,A,B,B,B,A,A,B,B,A,A,A
A,B,B,B,A,A,B,B,B,A,A,B,B,A,A,A,A,A,B,A,A
A,B,B,B,A,A,B,B,A,A,A,A,A,B,A,A,A,A,A,A,A
A,B,B,A,A,A,A,A,B,A,A,A,A,A,A,A,A,I,B,A,A
A,A,A,B,A,A,A,A,A,A,A,A,I,B,A,A,B,B,B,A,A
A,A,A,A,A,A,A,I,B,A,A,B,B,B,A,A,A,A,A,A,A
A,A,I,B,A,A,B,B,B,A,A,A,A,A,A,A,B,B,A,A,A
A,B,B,B,A,A,A,A,A,A,A,B,B,A,A,A,B,A,B,A,A
A,A,A,A,A,A,B,B,A,A,A,B,A,B,A,A,A,A,B,A,A
A,B,B,A,A,A,B,A,B,A,A,A,A,B,A,A,B,A,A,A,A
A,B,A,B,A,A,A,A,B,A,A,B,A,A,A,A,A,B,B,A,A
A,A,A,B,A,A,B,A,A,A,A,A,B,B,A,A,B,B,A,A,A
A,B,A,A,A,A,A,B,B,A,A,B,B,A,A,A,A,A,A,A,A
A,A,B,B,A,A,B,B,A,A,A,A,A,A,A,A,B,B,B,A,A
A,B,B,A,A,A,A,A,A,A,A,B,B,B,A,A,B,A,A,A,A
A,A,A,A,A,A,B,B,B,A,A,B,A,A,A,A,A,A,A,A,A
A,B,B,B,A,A,B,A,A,A,A,A,A,A,A,A,A,A,B,A,A
A,B,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A
A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,B,B,A,A
A,A,A,B,A,A,A,A,A,A,A,A,B,B,A,A,A,B,B,A,A
A,A,A,A,A,A,A,B,B,A,A,A,B,B,A,A,B,B,A,A,A
A,A,B,B,A,A,A,B,B,A,A,B,B,A,A,A,A,B,B,A,A
A,A,B,B,A,A,B,B,A,A,A,A,B,B,A,A,B,B,A,A,A
A,B,B,A,A,A,A,B,B,A,A,B,B,A,A,A,B,A,B,A,A
A,A,B,B,A,A,B,B,A,A,A,B,A,B,A,A,B,B,A,A,A
A,B,B,A,A,A,B,A,B,A,A,B,B,A,A,A,B,B,A,A,A
A,B,A,B,A,A,B,B,A,A,A,B,B,A,A,A,B,A,A,A,A
A,B,B,A,A,A,B,B,A,A,A,B,A,A,A,A,A,B,B,A,A
A,B,B,A,A,A,B,A,A,A,A,A,B,B,A,A,B,B,A,A,A
A,B,A,A,A,A,A,B,B,A,A,B,B,A,A,A,B,A,B,A,A
A,A,B,B,A,A,B,B,A,A,A,B,A,B,A,A,B,B,A,A,A
A,B,B,A,A,A,B,A,B,A,A,B,B,A,A,A,B,B,B,A,A
A,B,A,B,A,A,B,B,A,A,A,B,B,B,A,A,B,B,A,A,A
A,B,B,A,A,A,B,B,B,A,A,B,B,A,A,A,A,A,B,A,A
A,B,B,B,A,A,B,B,A,A,A,A,A,B,A,A,A,A,A,A,A
A,B,B,A,A,A,A,A,B,A,A,A,A,A,A,A,B,B,B,A,A
A,A,A,B,A,A,A,A,A,A,A,B,B,B,A,A,A,B,B,A,A
A,A,A,A,A,A,B,B,B,A,A,A,B,B,A,A,B,B,A,A,A
A,B,B,B,A,A,A,B,B,A,A,B,B,A,A,A,B,B,A,A,A
A,A,B,B,A,A,B,B,A,A,A,B,B,A,A,A,B,B,B,A,A
A,B,B,A,A,A,B,B,A,A,A,B,B,B,A,A,B,B,A,A,A
A,B,B,A,A,A,B,B,B,A,A,B,B,A,A,A,A,A,B,A,A
A,B,B,B,A,A,B,B,A,A,A,A,A,B,A,A,B,B,A,A,A
A,B,B,A,A,A,A,A,B,A,A,B,B,A,A,A,A,A,A,A,A
A,A,A,B,A,A,B,B,A,A,A,A,A,A,A,A,B,B,B,A,A
A,B,B,A,A,A,A,A,A,A,A,B,B,B,A,A,B,A,A,A,A
A,A,A,A,A,A,B,B,B,A,A,B,A,A,A,A,A,A,B,A,A
A,B,B,B,A,A,B,A,A,A,A,A,A,B,A,A,A,A,A,A,A
A,B,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A
A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A
A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,B,B,B,A,A
A,A,A,A,A,A,A,A,B,A,A,B,B,B,A,A,A,A,B,A,A
A,A,A,B,A,A,B,B,B,A,A,A,A,B,A,A,A,A,A,A,A
A,B,B,B,A,A,A,A,B,A,A,A,A,A,A,A,A,A,B,A,A
A,A,A,B,A,A,A,A,A,A,A,A,A,B,A,A,A,A,B,A,A
A,A,A,A,A,A,A,A,B,A,A,A,A,B,A,A,B,B,A,A,A
A,A,A,B,A,A,A,A,B,A,A,B,B,A,A,A,A,B,A,A,A
A,A,A,B,A,A,B,B,A,A,A,A,B,A,A,A,A,A,B,A,A
A,B,B,A,A,A,A,B,A,A,A,A,A,B,A,A,A,A,B,A,A
A,A,B,A,A,A,A,A,B,A,A,A,A,B,A,A,B,B,A,A,A
A,A,A,B,A,A,A,A,B,A,A,B,B,A,A,A,A,B,B,A,A
A,A,A,B,A,A,B,B,A,A,A,A,B,B,A,A,B,B,B,A,A
A,B,B,A,A,A,A,B,B,A,A,B,B,B,A,A,B,A,A,A,A
A,A,B,B,A,A,B,B,B,A,A,B,A,A,A,A,A,A,B,A,A
A,B,B,B,A,A,B,A,A,A,A,A,A,B,A,A,A,A,A,A,A
A,B,A,A,A,A,A,A,B,A,A,A,A,A,A,A,B,B,B,A,A
A,A,A,B,A,A,A,A,A,A,A,B,B,B,A,A,B,B,A,A,A
A,A,A,A,A,A,B,B,B,A,A,B,B,A,A,A,A,A,B,A,A
A,B,B,B,A,A,B,B,A,A,A,A,A,B,A,A,A,B,B,A,A
A,B,B,A,A,A,A,A,B,A,A,A,B,B,A,A,B,A,B,A,A
A,A,A,B,A,A,A,B,B,A,A,B,A,B,A,A,B,B,B,A,A
A,A,B,B,A,A,B,A,B,A,A,B,B,B,A,A,A,A,A,A,A
A,B,A,B,A,A,B,B,B,A,A,A,A,A,A,A,A,A,B,A,A
A,B,B,B,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A
A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,B,B,A,A
A,A,A,B,A,A,A,A,A,A,A,A,B,B,A,A,B,B,B,A,A
A,A,A,A,A,A,A,B,B,A,A,B,B,B,A,A,A,A,A,A,A
A,A,B,B,A,A,B,B,B,A,A,A,A,A,A,A,A,A,A,A,A
A,B,B,B,A,A,A,A,A,A,A,A,A,A,A,A,B,A,B,A,A
A,A,A,A,A,A,A,A,A,A,A,B,A,B,A,A,A,B,B,A,A
A,A,A,A,A,A,B,A,B,A,A,A,B,B,A,A,A,A,A,A,A
A,B,A,B,A,A,A,B,B,A,A,A,A,A,A,A,A,B,B,A,A
A,A,B,B,A,A,A,A,A,A,A,A,B,B,A,A,B,B,B,A,A
A,A,A,A,A,A,A,B,B,A,A,B,B,B,A,A,A,B,A,A,A
A,A,B,B,A,A,B,B,B,A,A,A,B,A,A,A,A,A,A,A,A
A,B,B,B,A,A,A,B,A,A,A,A,A,A,A,A,A,A,B,A,A
A,A,B,A,A,A,A,A,A,A,A,A,A,B,A,A,B,A,B,A,A
A,A,A,A,A,A,A,A,B,A,A,B,A,B,A,A,B,B,A,A,A
A,A,A,B,A,A,B,A,B,A,A,B,B,A,A,A,B,A,A,A,A
A,B,A,B,A,A,B,B,A,A,A,B,A,A,A,A,B,B,B,A,A
A,B,B,A,A,A,B,A,A,A,A,B,B,B,A,A,I,B,A,A,A
A,B,A,A,A,A,B,B,B,A,A,I,B,A,A,A,A,A,A,A,A
A,B,B,B,A,A,I,B,A,A,A,A,A,A,A,A,A,A,A,A,A
A,I,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,B,A,A
A,A,A,A,A,A,A,A,A,A,A,A,B,B,A,A,A,B,A,A,A
A,A,A,A,A,A,A,B,B,A,A,A,B,A,A,A,B,B,A,A,A
A,A,B,B,A,A,A,B,A,A,A,B,B,A,A,A,A,A,B,A,A
A,A,B,A,A,A,B,B,A,A,A,A,A,B,A,A,B,B,B,A,A
A,B,B,A,A,A,A,A,B,A,A,B,B,B,A,A,B,B,A,A,A
A,A,A,B,A,A,B,B,B,A,A,B,B,A,A,A,A,B,A,A,A
A,B,B,B,A,A,B,B,A,A,A,A,B,A,A,A,A,B,B,A,A
A,B,B,A,A,A,A,B,A,A,A,A,B,B,A,A,B,B,A,A,A
A,A,B,A,A,A,A,B,B,A,A,B,B,A,A,A,A,A,B,A,A
A,A,B,B,A,A,B,B,A,A,A,A,A,B,A,A,B,B,A,A,A
A,B,B,A,A,A,A,A,B,A,A,B,B,A,A,A,B,B,A,A,A
A,A,A,B,A,A,B,B,A,A,A,B,B,A,A,A,B,B,B,A,A
A,B,B,A,A,A,B,B,A,A,A,B,B,B,A,A,B,B,A,A,A
A,B,B,A,A,A,B,B,B,A,A,B,B,A,A,A,A,B,B,A,A
A,B,B,B,A,A,B,B,A,A,A,A,B,B,A,A,B,B,A,A,A
A,B,B,A,A,A,A,B,B,A,A,B,B,A,A,A,B,B,A,A,A
A,A,B,B,A,A,B,B,A,A,A,B,B,A,A,A,A,A,B,A,A
A,B,B,A,A,A,B,B,A,A,A,A,A,B,A,A,B,A,A,A,A
A,B,B,A,A,A,A,A,B,A,A,B,A,A,A,A,A,A,A,A,A
A,A,A,B,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A
A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A
A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,B,A,A
A,A,A,A,A,A,A,A,B,A,A,A,A,B,A,A,A,A,A,A,A
A,A,A,B,A,A,A,A,B,A,A,A,A,A,A,A,A,A,B,A,A
A,A,A,B,A,A,A,A,A,A,A,A,A,B,A,A,A,B,B,A,A
A,A,A,A,A,A,A,A,B,A,A,A,B,B,A,A,A,A,A,A,A
A,A,A,B,A,A,A,B,B,A,A,A,A,A,A,A,B,B,B,A,A
A,A,B,B,A,A,A,A,A,A,A,B,B,B,A,A,A,A,A,A,A
A,A,A,A,A,A,B,B,B,A,A,A,A,A,A,A,B,B,B,A,A
A,B,B,B,A,A,A,A,A,A,A,B,B,B,A,A,B,B,A,A,A
A,A,A,A,A,A,B,B,B,A,A,B,B,A,A,A,B,B,B,A,A
A,B,B,B,A,A,B,B,A,A,A,B,B,B,A,A,A,A,B,A,A
A,B,B,A,A,A,B,B,B,A,A,A,A,B,A,A,A,I,B,A,A
A,B,B,B,A,A,A,A,B,A,A,A,I,B,A,A,B,B,A,A,A
A,A,A,B,A,A,A,I,B,A,A,B,B,A,A,A,A,A,A,A,A
A,A,I,B,A,A,B,B,A,A,A,A,A,A,A,A,A,A,B,A,A
A,B,B,A,A,A,A,A,A,A,A,A,A,B,A,A,B,A,A,A,A
A,A,A,A,A,A,A,A,B,A,A,B,A,A,A,A,A,A,B,A,A
A,A,A,B,A,A,B,A,A,A,A,A,A,B,A,A,B,B,A,A,A
A,B,A,A,A,A,A,A,B,A,A,B,B,A,A,A,A,A,B,A,A
A,A,A,B,A,A,B,B,A,A,A,A,A,B,A,A,A,A,A,A,A
A,B,B,A,A,A,A,A,B,A,A,A,A,A,A,A,A,B,B,A,A
A,A,A,B,A,A,A,A,A,A,A,A,B,B,A,A,B,B,A,A,A
A,A,A,A,A,A,A,B,B,A,A,B,B,A,A,A,A,B,B,A,A
A,A,B,B,A,A,B,B,A,A,A,A,B,B,A,A,B,B,A,A,A
A,B,B,A,A,A,A,B,B,A,A,B,B,A,A,A,B,B,A,A,A
A,A,B,B,A,A,B,B,A,A,A,B,B,A,A,A,B,B,B,A,A
A,B,B,A,A,A,B,B,A,A,A,B,B,B,A,A,A,A,A,A,A
A,B,B,A,A,A,B,B,B,A,A,A,A,A,A,A,B,B,A,A,A
A,B,B,B,A,A,A,A,A,A,A,B,B,A,A,A,B,A,B,A,A
A,A,A,A,A,A,B,B,A,A,A,B,A,B,A,A,A,B,A,A,A
A,B,B,A,A,A,B,A,B,A,A,A,B,A,A,A,B,B,B,A,A
A,B,A,B,A,A,A,B,A,A,A,B,B,B,A,A,B,B,A,A,A
A,A,B,A,A,A,B,B,B,A,A,B,B,A,A,A,A,B,B,A,A
A,B,B,B,A,A,B,B,A,A,A,A,B,B,A,A,A,A,B,A,A
A,B,B,A,A,A,A,B,B,A,A,A,A,B,A,A,B,A,B,A,A
A,A,B,B,A,A,A,A,B,A,A,B,A,B,A,A,A,B,A,A,A
A,A,A,B,A,A,B,A,B,A,A,A,B,A,A,A,B,A,B,A,A
A,B,A,B,A,A,A,B,A,A,A,B,A,B,A,A,B,A,A,A,A
A,A,B,A,A,A,B,A,B,A,A,B,A,A,A,A,A,B,B,A,A
A,B,A,B,A,A,B,A,A,A,A,A,B,B,A,A,B,B,A,A,A
A,B,A,A,A,A,A,B,B,A,A,B,B,A,A,A,A,A,A,A,A
A,A,B,B,A,A,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A
A,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,B,A,A
A,A,A,A,A,A,A,A,A,A,A,B,A,B,A,A,B,B,A,A,A
A,A,A,A,A,A,B,A,B,A,A,B,B,A,A,A,A,A,A,A,A
A,B,A,B,A,A,B,B,A,A,A,A,A,A,A,A,A,B,B,A,A
A,B,B,A,A,A,A,A,A,A,A,A,B,B,A,A,A,A,B,A,A
A,A,A,A,A,A,A,B,B,A,A,A,A,B,A,A,A,A,A,A,A
A,A,B,B,A,A,A,A,B,A,A,A,A,A,A,A,B,B,B,A,A
A,A,A,B,A,A,A,A,A,A,A,B,B,B,A,A,B,B,B,A,A
A,A,A,A,A,A,B,B,B,A,A,B,B,B,A,A,A,A,A,A,A
A,B,B,B,A,A,B,B,B,A,A,A,A,A,A,A,B,A,A,A,A
A,B,B,B,A,A,A,A,A,A,A,B,A,A,A,A,B,B,B,A,A
A,A,A,A,A,A,B,A,A,A,A,B,B,B,A,A,A,A,B,A,A
A,B,A,A,A,A,B,B,B,A,A,A,A,B,A,A,B,B,A,A,A
A,B,B,B,A,A,A,A,B,A,A,B,B,A,A,A,A,B,B,A,A
A,A,A,B,A,A,B,B,A,A,A,A,B,B,A,A,B,B,A,A,A
A,B,B,A,A,A,A,B,B,A,A,B,B,A,A,A,A,B,B,A,A
A,A,B,B,A,A,B,B,A,A,A,A,B,B,A,A,B,A,B,A,A
A,B,B,A,A,A,A,B,B,A,A,B,A,B,A,A,A,A,A,A,A
A,A,B,B,A,A,B,A,B,A,A,A,A,A,A,A,B,B,A,A,A
A,B,A,B,A,A,A,A,A,A,A,B,B,A,A,A,A,B,B,A,A
A,A,A,A,A,A,B,B,A,A,A,A,B,B,A,A,B,A,B,A,A
A,B,B,A,A,A,A,B,B,A,A,B,A,B,A,A,A,A,A,A,A
A,A,B,B,A,A,B,A,B,A,A,A,A,A,A,A,A,A,A,A,A
A,B,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,B,B,A,A
A,A,A,A,A,A,A,A,A,A,A,B,B,B,A,A,A,A,A,A,A
A,A,A,A,A,A,B,B,B,A,A,A,A,A,A,A,A,A,A,A,A
A,B,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A
A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,B,B,A,A,A
A,A,A,A,A,A,A,A,B,A,A,B,B,A,A,A,B,B,B,A,A
A,A,A,B,A,A,B,B,A,A,A,B,B,B,A,A,A,A,A,A,A
A,B,B,A,A,A,B,B,B,A,A,A,A,A,A,A,A,A,B,A,A
A,B,B,B,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A
A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,B,B,B,A,A
A,A,A,B,A,A,A,A,A,A,A,B,B,B,A,A,A,I,B,A,A
A,A,A,A,A,A,B,B,B,A,A,A,I,B,A,A,A,A,A,A,A
A,B,B,B,A,A,A,I,B,A,A,A,A,A,A,A,B,B,B,A,A
A,A,I,B,A,A,A,A,A,A,A,B,B,B,A,A,A,A,B,A,A
A,A,A,A,A,A,B,B,B,A,A,A,A,B,A,A,A,A,A,A,A
A,B,B,B,A,A,A,A,B,A,A,A,A,A,A,A,B,B,A,A,A
A,A,A,B,A,A,A,A,A,A,A,B,B,A,A,A,B,B,B,A,A
A,A,A,A,A,A,B,B,A,A,A,B,B,B,A,A,A,B,B,A,A
A,B,B,A,A,A,B,B,B,A,A,A,B,B,A,A,A,A,B,A,A
A,B,B,B,A,A,A,B,B,A,A,A,A,B,A,A,A,A,A,A,A
A,A,B,B,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A
A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,B,B,B,A,A
A,A,A,A,A,A,A,A,A,A,A,B,B,B,A,A,B,B,A,A,A
A,A,A,A,A,A,B,B,B,A,A,B,B,A,A,A,B,B,B,A,A
A,B,B,B,A,A,B,B,A,A,A,B,B,B,A,A,B,B,A,A,A
A,B,B,A,A,A,B,B,B,A,A,B,B,A,A,A,B,B,A,A,A
A,B,B,B,A,A,B,B,A,A,A,B,B,A,A,A,B,A,B,A,A
A,B,B,A,A,A,B,B,A,A,A,B,A,B,A,A,A,A,A,A,A
A,B,B,A,A,A,B,A,B,A,A,A,A,A,A,A,A,B,B,A,A
A,B,A,B,A,A,A,A,A,A,A,A,B,B,A,A,A,A,B,A,A
A,A,A,A,A,A,A,B,B,A,A,A,A,B,A,A,B,B,B,A,A
A,A,B,B,A,A,A,A,B,A,A,B,B,B,A,A,A,A,A,A,A
A,A,A,B,A,A,B,B,B,A,A,A,A,A,A,A,B,B,B,A,A
